Company Name	Year Founded	Founder(s)	Industry	Funding Amount	Description	Employee Count
MediBuddy	2000	Satish Kannan	Health Care, Health Insurance, Medical, mHealth	$67,132,379	MediBuddy is a digital healthcare platform that offers inpatient and outpatient hospitalization, as well as corporate wellness benefits.	1001-5000
Progcap	2017	Pallavi Shrivastava	Enterprise, Finance, Financial Services, FinTech, Supply Chain Management	$32,324,325	Progcap is a financial services firm that assists micro and small businesses with financing.	11-50
Capital Float	2013	Gaurav Hinduja, Sashank Rishyasringa	B2B, Financial Services, FinTech, Small and Medium Businesses	$150,417,120	Cash Float is an online platform that helps small businesses get operating capital.	51-100
CARS24	2015	Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra	Artificial Intelligence, Automotive, B2C, E-Commerce, Marketplace, Sales Automation, Software, Transaction Processing	$393,848,044	CARS24 is a technologically advanced platform for buying and selling used vehicles.	1001-5000
Bharat Biotech	1996	Krishna Ella, Suchitra Ella	Biotechnology	$14,100,000	India's second-largest vaccine manufacturer	501-1000
Skillmatics	2016	Devanshi Kejriwal, Dhvanil Sheth	Children, Education	$7,419,353	Skillmatics creates educational games for children in pre-school and primary school.	11-50
Rapido	2015	Aravind Sanka, Pavan Guntupalli, Rishikesh SR	Information Services, Mobile Apps, Public Transportation, Taxi Service, Transportation	$121,996,807	Rapido is an online bike taxi aggregator and logistics service that enables people to share their bicycles with others.	1001-5000
Reliance Jio	2010	Mukesh Ambani	Apps, Information Services, Internet, Telecommunications	$24,767,620,475	Reliance Jio is a telecommunications firm that provides high-speed mobile internet connection in India.	10001+
YourStory	2008	Shradha Sharma	Information Technology, Internet, News, Public Relations, Publishing	$8,469,522	YourStory.com is a media website that focuses on India's startup scene.	101-250
Kodo	2019	Deepti Sanghi, Gaurav Thapa	B2B, Financial Services, FinTech, Small and Medium Businesses	$8,736,466	Kodo is a fintech startup that focuses on small businesses' corporate card and B2B payments needs.	11-50
Practo	2008	Abhinav Lal, Shashank ND	Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness	$228,246,376	Practo is a mhealth platform that allows patients to make appointments, check-ups, and consultations with healthcare practitioners.	5001-10000
NiYO Solutions	2015	Virender Bisht	Finance, Financial Services, FinTech	$49,200,000	NiYO is a fintech startup that makes it easier for salaried employees to get access to business benefits and other financial services.	11-50
Reliance Retail	2006	Mukesh Ambani	Consumer Goods, Grocery, Retail	$6,419,310,306	Reliance Retail operates a chain of local stores, supermarkets, and wholesale/specialty stores, as well as an online store.	10001+
Locus.sh	2015	Geet Garg, Nishith Rastogi	Big Data, Data Visualization, Logistics, Software	$78,750,000	Locus is a logistics-focused intelligent decision-making and automation platform.	251-500
KreditBee	2018	Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong	Financial Services, FinTech, Internet, Lending	â¹11,117,000,000	KreditBee is a digital loan platform that was created to help young professionals manage their finances.	1001-5000
boAt	2016	Aman Gupta, Sameer Mehta	Consumer Electronics, Fashion, Lifestyle, Wearables	$116,258,656	boAt is a domestic audio-tech earwear firm that specializes on well-designed, aspirational items at affordable prices.	101-250
Flipkart	2007	Binny Bansal, Sachin Bansal	E-Commerce, Internet, Retail, Shopping	$9,009,184,737	Flipkart is an e-commerce platform with over 30 million products in more than 70 categories.	10001+
MobiKwik	2009	Bipin Singh, Chandan Joshi, Upasana Taku	Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments, Wealth Management	$165,518,505	MobiKwik is India's leading fintech platform, with consumer payments, payment gateways, and financial services as its core operations.	251-500
Cuemath	2013	Manan Khurma	E-Learning, EdTech, Education, STEM Education	$64,495,265	Cuemath is an international online learning platform that provides Kâ10 pupils with math and coding curriculum.	1001-5000
Jai Kisan	2017	Adriel Maniego, Arjun Ahluwalia	Agriculture, AgTech, Financial Services, FinTech	$35,400,000	Jai Kisan is a finance platform that serves rural emerging markets with long-term funding.	11-50
Infra.Market	2016	Aaditya Sharda, Souvik Sengupta	Construction, E-Commerce, Marketplace, Procurement	$161,545,747	Infra.Market is an online marketplace for all types of materials and products used in construction projects.	51-100
Xpressbees	2015	Amitava Saha, Supam Maheshwari	Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management	$277,583,000	Xpressbees is an e-commerce logistics company that provides its partners with dependable logistical solutions.	10001+
Northern Arc	2008	Kshama Fernandes	Enterprise, Finance, Financial Services	$383,626,249	Northern Arc Capital is a non-banking finance company that connects debt investors with borrowers.	51-100
Toppr	2013	Hemanth Goteti, Zishaan Hayath	E-Learning, EdTech, Education	$112,087,670	Toppr is an after-school learning software that offers assistance for admission exams and learning courses.	1001-5000
MyGlamm	2015	Darpan Sanghvi, Priyanka Gill	Beauty, Marketplace, Mobile Apps	$56,035,717	MyGlamm is a direct-to-consumer beauty firm that connects stylists, beauticians, nail technicians, and spa aestheticians with customers.	101-250
ZoomCar	2012	David Back, Greg Moran	Automotive, E-Commerce, Rental, Reservations, Transportation	$274,145,634	ZoomCar is a self-drive car rental firm that lets customers rent cars by the hour, day, or week.	501-1000
Snapdeal	2010	Kunal Bahl, Rohit Bansal	Consumer Electronics, E-Commerce, Internet, Marketplace, Retail, Shopping	$1,776,260,825	Snapdeal is India's largest no-frills, value-focused marketplace, with products from 500,000+ sellers across 600+ categories.	1001-5000
WhiteHat Education Technology	2018	Karan Bajaj	Education	$11,294,388	Whitehar Jr. is one of the most popular and effective computer programming learning websites for children.	101-250
CarDekho	2007	Amit Jain, Anurag Jain	Automotive, E-Commerce, Information Services, Information Technology, Software	$247,500,000	CarDekho is working to digitize India's automotive ecosystem.	501-1000
Koo App	2020	Aprameya Radhakrishna, Mayank Bidawatka	Apps, Internet, Social Media, Software	$33,997,488	Koo App is a social networking platform headquartered in India that allows users to post audio and video.	11-50
Porter	2014	Pranav Goel, Uttam Digga, Vikas Choudhary	E-Commerce, Internet, Logistics, Supply Chain Management	$32,070,087	Porter assists companies in improving their last-mile delivery operations.	1001-5000
Skyroot Aerospace	2018	Naga Bharath Daka, Pawan Kumar Chandana	Aerospace, Transportation	$14,938,971	Skyroot Aerospace is India's first space launch vehicle company, producing rockets for low-cost access to space.	11-50
Holisol logistics	2009	Manish Ahuja, Naveen Rawat, Rahul Dogar	Business Development, Logistics, Supply Chain Management	$27,307,486	HoliSol Logistics is a B2C and B2B supply chain solutions company that specializes in multi-channel fulfillment.	51-100
Exotel	2011	Shivakumar Ganesan	Cloud Data Services, Messaging, Mobile Apps	$12,294,124	For small and medium businesses in India, Exotel offers cloud telephony services such as virtual phone lines and telephony applications.	101-250
CarTrade	2009	Vinay Sanghi	Auctions, Automotive, E-Commerce, Marketplace	$307,351,129	CarTrade.com is India's premier online automotive marketplace for new and used vehicle buyers and sellers.	1001-5000
OPEN	2017	Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko	Banking, Billing, Finance, Financial Services, FinTech, Payments	$37,400,000	Open creates and sells an online banking and intercompany settlement platform.	251-500
InCred	2016	Bhupinder Singh	Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending	$254,425,980	InCred is a financial services platform that makes lending simple and rapid by combining technology and data science.	1001-5000
Pepperfry	2011	Ambareesh Murty, Ashish Shah	E-Commerce, Furniture, Marketplace, Retail	$245,341,627	Pepperfry is an online furniture marketplace that sells anything from furniture to home decor.	501-1000
Shadowfax	2015	Abhishek Bansal, Vaibhav Khandelwal	Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management	$119,680,000	Shadowfax is a tech-enabled on-demand logistics network that offers one-stop delivery solutions.	501-1000
The Man Company	2015	Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar	Beauty, Consumer Goods	$14,128,602	Grooming products for men. Come celebrate your manhood.	101-250
Agnikul	2017	Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran	Aerospace, Manufacturing, Nanotechnology	$14,543,144	Agnikul is a space technology company that designs, builds, tests, and launches orbital class rockets for micro and nano satellites.	51-100
Shop101	2015	Abhinav Jain, Aditya Gupta, Kalpak Chhajed	Apps, Consumer Goods, E-Commerce, Internet, Online Portals	$19,879,176	By being the most trusted reselling partner for millions of Indians, you'll be leading the next wave of e-commerce.	101-250
Plum	2019	Abhishek Poddar, Saurabh Arora	Employee Benefits, Health Care, Health Insurance, Human Resources, Insurance	$20,645,163	Health insurance and perks of high quality	11-50
Pee Safe	2013	Dheeraj Jain, Srijana Bagaria, Vikas Bagaria	Consumer Goods, Fast-Moving Consumer Goods, Fitness, Health Care, Wellness	$9,653,620	Redcliffe Hygiene Private Limited, founded in 2013, is India's fastest growing hygiene company.	101-250
cure.fit	2016	Ankit Nagori, Mukesh Bansal	Apps, Fitness, Health Care, Wellness	$479,575,960	cure.fit is a digital and offline health and fitness company that focuses on fitness, nutrition, and mental well-being.	101-250
Nykaa	2012	Falguni Nayar	Beauty, E-Commerce, Fashion, Lifestyle, Online Portals, Wellness	$341,858,615	Nykaa is an online store that sells a variety of beauty and health items.	1001-5000
NoBroker	2014	Akhil Gupta, Amit Agarwal	Commercial Real Estate, Mobile Apps, Property Management, Real Estate, Software	$214,452,563	NoBroker is a peer-to-peer property listing platform that aims to streamline real estate transactions.	51-100
PharmEasy	2015	Dharmil Sheth, Dhaval Shah, Mikhil Innani	Health Care, Health Diagnostics, Pharmaceutical, Wellness	$671,538,857	PharmEasy is a health-tech firm that provides teleconsultation, medicine delivery, and diagnostic test sample collecting, among other services.	501-1000
OfBusiness	2015	Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar	Financial Services, FinTech, Lending	$193,125,171	OfBusiness is a financial platform that provides SMEs with smart funding.	501-1000
LEAD School	2012	Smita Deorah, Sumeet Mehta	E-Learning, EdTech, Education, Secondary Education	$65,966,878	LEAD School is a technology-based school transformation system that provides kids with a high-quality education.	501-1000
Upstox	2010	Raghu Kumar, Shrinivas Viswanath	Financial Services, FinTech, Trading Platform	$29,000,000	Upstox is a fintech startup that provides customers with new investing possibilities.	101-250
Teachmint	2020	Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain	E-Learning, EdTech, Education	$20,000,000	Teachmint is an online learning platform that focuses on the connection between tutors and students.	51-100
ZestMoney	2015	Ashish Anantharaman, Lizzie Chapman, Priya Sharma	Big Data, Consumer Lending, Financial Services, FinTech	$68,373,925	ZestMoney is a consumer loan fintech startup based in India.	101-250
Convosight	2019	Kartik Bansal, Tamanna Dhamija, Tarun Dhamija	SaaS, Social Media, Social Media Management	$13,000,000	Convosight is a community management tool that helps community builders grow and monetise their Facebook groups.	51-100
Livspace	2014	Anuj Srivastava, Ramakant Sharma, Shagufta Anurag	E-Commerce, Furniture, Interior Design	$101,691,508	Livspace is an interior design startup that links individuals with designers, services, and products through a platform.	1001-5000
Rebel Foods	2011	Jaydeep Barman, Kallol Banerjee	E-Commerce, Food Delivery, Food Processing	$342,349,901	Rebel Foods Services is a food delivery platform that delivers food right to your door.	5001-10000
Spinny	2015	Mohit Gupta, Niraj Singh, Ramanshu Mahaur	E-Commerce, E-Commerce Platforms, Internet, Retail	$126,900,000	Spinny is a used automobile buying platform that makes transactions safe and simple.	251-500
Synapsica	2018	Cherian Dr, Gandharv Goyal, Kuldeep Singh Chauhan, Meenakshi Singh	Artificial Intelligence, Health Care, Health Diagnostics, Information Technology, Machine Learning, Medical, Natural Language Processing, Predictive Analytics, Software	$4,200,835	Synapsica is a healthtech and teleradiology company that automates diagnostic radiology workflow and reporting using artificial intelligence.	11-50
DeHaat	2012	Amrendra Singh, Shashank Kumar	Agriculture, AgTech, E-Commerce, Farming, Internet, Marketplace	$49,286,284	DeHaat is a website that sells farm products and services.	251-500
Masai School	2019	Prateek Shukla	E-Learning, Education, Training	$7,483,079	Masai School is a software training company that focuses on helping people get jobs.	1-10
Wysa	2015	Jo Aggarwal, Ramakant Vempati	Artificial Intelligence, Fitness, Health Care, Medical Device, mHealth	$9,357,626	Wysa is an artificial intelligence (AI) conversational agent that has been proved to promote mental wellness.	11-50
Magicpin	2015	Anshoo Sharma, Brij Bhushan	E-Commerce, E-Commerce Platforms, Internet, Retail	$41,884,162	Magicpin is a platform that allows users and merchants in a certain area to find, communicate with, and transact with one another.	501-1000
Ather Energy	2013	Arun Vinayak, Swapnil Jain, Tarun Mehta	Automotive, Electric Vehicle, Manufacturing	$102,210,000	Ather Energy is an electric scooter company.	501-1000
Trell	2016	Arun Lodhi, Bimal Kartheek Rebba, Prashant Sachan, Pulkit Agrawal	Lifestyle, Social Network, Social Shopping, Video	$16,950,000	Trell is a lifestyle social commerce website that allows users to submit 3-minute videos demonstrating their passions.	101-250
Convin	2019	Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary	Analytics, Artificial Intelligence, Sales, Software	â¹25,000,000	Convin is a conversation intelligence technology that aids remote sales teams in better understanding talks.	11-50
Yellow Messenger	2016	Anik Das, Jaya Kishore Reddy Gollareddy, Raghu Kumar, Rashid Khan	Artificial Intelligence, Customer Service, Enterprise Software, Messaging, Software	$24,000,000	Yellow Messenger is a software platform that may be used as a consumer engagement channel for businesses using artificial intelligence.	251-500
Mamaearth	2016	Varun Alagh	E-Commerce, Health Care, Retail, Wellness	$23,313,960	Mamaearth is an online retailer that specializes in products for babies and toddlers.	11-50
Milkbasket	2014	Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia	Delivery Service, E-Commerce, Food and Beverage, Internet	$38,519,469	Milkbasket is a daily micro-delivery service that caters to consumers' shopping and housekeeping needs.	11-50
Bimaplan	2020		Financial Services, Insurance	$3,000,000	Insurance for the next billion Indians at an affordable price	1-10
Urban Ladder	2012	Ashish Goel, Rajiv Srivatsa	E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet	$114,896,667	Urban Ladder is an online furniture firm situated in Bangalore.	501-1000
PagarBook	2019	Adarsh Kumar, Arya Gautam, Rupesh Mishra	Apps, Enterprise Software, Human Resources, Mobile Apps, SaaS, Software	$17,000,000	PagarBook is a small- and medium-business salary, job, and attendance management tool.	101-250
Paytm Payments Bank	2017	Vijay Shekhar Sharma	Banking, FinTech, Mobile Payments	$28,188,461	Paytm Payments Bank is a mobile-first bank that offers accounts with no minimum balance and no digital transaction fees.	1001-5000
OkCredit	2017	Aditya Prasad, Gaurav Kumar, Harsh Pokharna	Finance, Financial Exchanges, Financial Services, FinTech, Personal Finance	$84,200,000	OkCredit makes credit account management easier for both store owners and customers.	101-250
Purplle	2011	Manish Taneja, Rahul Dash	Beauty, Cosmetics, E-Commerce, Mobile Apps, Retail, Shopping	$93,649,358	Purplle is an online retailer of cosmetics, fragrances, skin care, and hair care items.	101-250
MyMoneyMantra	1989	Raj Khosla	Consumer Lending, Finance, Financial Services, FinTech, Insurance, Lending, Marketplace, Personal Finance	$15,000,000	MyMoneyMantra is India's largest consumer and commercial finance phy-gital (physical-digital) marketplace.	1001-5000
Blackbuck	2015	Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B	Information Services, Internet, Logistics, Supply Chain Management, Transportation	$296,995,198	Blackbuck is a logistics company based in India that makes trucking easier for both shippers and drivers.	1001-5000
Wakefit	2016	Ankit Garg, Chaitanya Ramalingegowda	E-Commerce, Furniture, Manufacturing, Retail	â¹2,500,000,000	Wakefit is a home solutions firm that tries to offer unique, modern, and affordable goods.	251-500
Freshtohome	2015	Shan Kadavil	E-Commerce, E-Commerce Platforms, Food and Beverage, Food Delivery, Online Portals	$152,000,000	Freshtohome is an online marketplace selling chemical-free, fresh chicken, beef, and seafood.	51-100
Housing.com	2012	Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia	Internet, Online Portals, Real Estate	$147,830,000	Housing.com is an online real estate listing service in India that makes it easier to find, rent, and sell homes.	1001-5000
Doubtnut	2016	Aditya Shankar, Tanushree Nagori	E-Learning, EdTech, Education, Image Recognition, STEM Education	$49,939,813	Doubtnut is an e-learning website that allows users to ask physics, chemistry, and math study questions.	11-50
smallcase	2015	Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath	Financial Services	$22,000,000	Changing India's equities investment strategy	101-250
Instamojo	2012	Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain	Business Development, E-Commerce, Financial Services, Payments	$8,444,527	Instamojo is a mobile payments platform that helps entrepreneurs start, run, and grow their businesses online.	101-250
Zomato	2008	Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah	Food Delivery, Mobile Apps, Reservations, Restaurants	$2,100,568,357	Zomato is an online restaurant guide and food ordering platform that allows users to order and have meals delivered from restaurants.	10001+
SUGAR Cosmetics	2012	Kaushik Mukherjee, Vineeta Singh	Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail	$35,500,000	SUGAR Cosmetics is a cruelty-free makeup brand that specializes on high-style, high-performance cosmetics.	1001-5000
WinZO	2018	Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore	Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games	$45,500,000	WinZO is a mobile e-sports social game platform that rewards participants with cash and prizes.	51-100
Chingari	2018		Social, Video	$14,340,302	Chingari is a video-on-demand service.	1-10
Fisdom	2015	Anand Dalmia, Ramganesh Iyer, Subramanya S.V.	Advice, Apps, Finance, Financial Services, FinTech	$23,450,864	Fisdom is a fintech firm that provides investment advisory services via an app.	101-250
Digit Insurance	2016	Kamesh Goyal, Philip Varghese, Sriram Shankar, Vijay Kumar	Finance, Financial Services, Insurance, InsurTech	$244,460,150	Digit Insurance is a financial services firm that specializes in general insurance.	1001-5000
Aye Finance	2014	Sanjay Sharma, Vikram Jetley	Finance, Financial Services, FinTech, Small and Medium Businesses	$261,193,454	Aye Financing is a finance company that helps micro and small businesses with business loans.	501-1000
Rivigo	2014	Deepak Garg, Gazal Kalra	Automotive, Freight Service, Logistics, Shipping, Software, Transportation	$268,701,257	Rivigo is a transportation service company with a technology-enabled logistics platform.	1001-5000
Pepper Content	2017	Anirudh Singla, Rishabh Shekhar	Content, Content Marketing, Media and Entertainment	$4,506,066	Pepper Content is a content-mediation platform that links writers with content-hungry businesses.	11-50
Get My Parking	2015	Chirag Jain, Rasik Pansare	Automotive, Internet, Parking, Software	$10,392,793	Get My Parking is a business-to-business platform-as-a-service provider.	51-100
FabAlley	2012	Shivani Poddar, Tanvi Malik	E-Commerce, Fashion, Lifestyle, Women's	$18,658,274	FabAlley is an online fashion company that specializes in women's clothing.	101-250
FarMart	2015	Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans	Agriculture, Apps, Farming, Mobile, SaaS	$3,280,204	FarMart is a micro-SaaS platform that assists food businesses in obtaining high-quality goods at low costs.	11-50
mfine	2017	Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli	Apps, Artificial Intelligence, Health Care, Hospital, Medical	$48,785,217	Mfine is a health-tech firm that is working on an AI-powered telemedicine app for mobile devices.	251-500
Medlife	2014	Ananth Narayanan, Prashanth Singh, Tushar Kumar	Information Technology, Retail	$56,506,662	Medlife is a value-driven smartphone app that allows you to get medicines online and have them delivered to your home in India.	1001-5000
Lendingkart	2014	Harshvardhan Lunia, Mukul Sachan	Finance, Financial Services, FinTech, Lending, Micro Lending	$257,504,119	Lendingkart is an online lender that offers SME borrowers short-term working capital loans.	501-1000
Chqbook	2017	Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma	Finance, Financial Services, FinTech	$6,000,000	Chqbook is a fintech firm that enables clients to research, compare, book, and purchase personal finance products.	101-250
Turtlemint	2015	Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah	Financial Services, Health Insurance, Insurance, InsurTech	$77,000,000	Turtlemint is an insurtech platform that helps people find and buy the right insurance products.	251-500
Ecom Express	2012	K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan	Delivery, E-Commerce, Logistics	$485,392,829	Ecom Express is a logistics solutions provider that enables customization, scalability, and the processing of delivery services.	10001+
BharatPe	2018	Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani	Apps, Financial Services, FinTech, Payments, QR Codes	$290,345,855	BharatPe is a FinTech firm that assists merchants in accepting free payments from customers.	251-500
Vymo	2013	Venkat Malladi, Yamini Bhat	Analytics, Apps, CRM, Mobile, Productivity Tools, SaaS, Sales Automation	$23,000,000	Vymo is a personal assistant program that automates sales and service team duties in businesses.	51-100
Shiprocket	2017	Gautam Kapoor, Saahil Goel, Vishesh Khurana	E-Commerce, Logistics, Shipping, Supply Chain Management	$53,350,000	Shiprocket is an e-commerce shipping platform that allows direct-to-consumer companies to ship at a lower cost.	251-500
LeadSquared	2011	Nilesh Patel	CRM, SaaS, Software	$35,000,000	Platform for sales execution and marketing automation that helps companies alter their sales processes.	101-250
FamPay	2019	Kush Taneja, Sambhav Jain	Financial Services, Lifestyle, Payments	$42,850,000	FamPay allows parents to send money to their adolescent children via UPI, P2P, and card payments.	51-100
Quikr	2008	Jiby Thomas, Pranay Chulet	Classifieds, E-Commerce, Internet, Marketplace, Rental Property	$424,214,622	Quikr is a free classifieds and online marketplace in India that allows users to sell, buy, rent, and discover anything.	1001-5000
Quizizz	2015	Ankit Gupta, Deepak Joy Cheenath	E-Learning, Education, Gamification, Skill Assessment, Software, Training	$15,504,114	Quizizz is an educational platform that provides any learner with engaging gamified quizzes and interactive courses.	11-50
Stanza Living	2017	Anindya Dutta, Sandeep Dalmia	Home Services, Hospitality, Information Technology, Real Estate, Rental Property	$172,175,325	Stanza Living is a tech-enabled co-living concept designed for students and working people who are relocating.	251-500
Pristyn Care	2018	Harsimarbir (Harsh) Singh	Health Care, Hospital, Internet	$81,000,000	Pristyn Care is a health-care startup that is changing the way elective surgery is performed.	501-1000
Polygon (Previously Matic Network)	2017		Blockchain	$450,000	Matic Network is a scalability platform for blockchains.	11-50
Bobble AI	2015	Ankit Prasad, Mohd Wassem, Rahul Prasad	Artificial Intelligence, Machine Learning, Messaging, Natural Language Processing, Text Analytics	$13,275,213	Bobble AI is a keyboard discussion media platform that creates customised content for its customers using artificial intelligence.	51-100
